"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000242419.5",45.2125422672911,1.81907496972625,0.302985577045793,6.0038335404042,1.92712278153444e-09,1.38955188162541e-05
"ENSG00000259417.3",332.546018145323,1.48885648771082,0.243968585510988,6.10265655552511,1.04319845031501e-09,1.38955188162541e-05
"ENSG00000129993.15",277.533586489372,-0.767256051662509,0.129433758068876,-5.92778934267078,3.07040027255284e-09,1.47594141101615e-05
"ENSG00000142102.16",392.326902248229,-0.688936944478519,0.117740278497999,-5.85132762778566,4.87664518766094e-09,1.75815250628146e-05
"ENSG00000167173.19",509.024824963834,-0.594448356665772,0.110250111259385,-5.39181638798727,6.97490188952518e-08,0.000201170120297685
"ENSG00000120833.14",442.686107168885,0.945302154772789,0.185585432307181,5.09362261369807,3.51285681567652e-07,0.000676113246771911
"ENSG00000167244.21",64.5450271501653,-1.86356676742705,0.366394771089863,-5.08622642698682,3.6525795257057e-07,0.000676113246771911
"ENSG00000189067.13",924.992908108225,-0.718553362673172,0.141414297910897,-5.08119315577213,3.75071491170882e-07,0.000676113246771911
"ENSG00000101638.14",328.463139116315,1.05812320496486,0.212729395181235,4.97403381447771,6.55738630672839e-07,0.00105071186588145
"ENSG00000274070.2",347.053384215817,-0.677722657048758,0.137541154227105,-4.92741725818088,8.33236901372215e-07,0.00120161093546887
"ENSG00000111077.18",4959.24099605949,-0.542559988889063,0.110863576748634,-4.89394267081275,9.88356408913104e-07,0.0012062154398963
"ENSG00000127954.13",377.677532201288,-0.793683488166704,0.162277310099861,-4.89090857913712,1.00371578106619e-06,0.0012062154398963
"ENSG00000107518.18",81.5233129151572,1.75634829690409,0.364791868974252,4.81465856638393,1.47451781303591e-06,0.00163569395244545
"ENSG00000107147.14",75.4768653741848,-1.04938488369158,0.222831289874934,-4.709324638746,2.48538941316143e-06,0.0025601286233715
"ENSG00000130222.11",184.91996070764,0.954929145079021,0.206766318348602,4.6183979707422,3.86714043749185e-06,0.00320059394704799
"ENSG00000132329.11",1058.61540258594,0.699152703844674,0.150491406419011,4.64579819194481,3.38764048933305e-06,0.00320059394704799
"ENSG00000137809.17",400.482857443705,-1.05718255181298,0.228820296863858,-4.62014325784211,3.83475171303009e-06,0.00320059394704799
"ENSG00000152377.14",436.664210005852,-1.36519493657858,0.296031989871601,-4.61164665741263,3.99491651389389e-06,0.00320059394704799
"ENSG00000280213.1",35.2678992989839,-1.92999962703016,0.425576928511524,-4.53501940008925,5.75981909162562e-06,0.00437170269054384
"ENSG00000107295.10",136.239484662826,1.22983806788363,0.278582503368419,4.41462781407058,1.01183920088514e-05,0.00583669324638582
"ENSG00000113916.18",1325.55122984205,-0.60380861188148,0.136299396800774,-4.43001675762407,9.42257660057636e-06,0.00583669324638582
"ENSG00000123095.6",467.45004012795,-0.628569701322678,0.141885976266616,-4.43010449560949,9.41874378262828e-06,0.00583669324638582
"ENSG00000196557.13",266.521827707406,-0.880020192959606,0.197658159561227,-4.45223306193444,8.49818532964893e-06,0.00583669324638582
"ENSG00000246985.8",91.5498440000755,1.04195786095368,0.235658469589184,4.42147427491187,9.80297370334269e-06,0.00583669324638582
